temp,ta_measured,growth_rate,ph_measured,ph_calculated,pco2_calculated,dic_calculated
16,0.0023259,0.163132533,8.325,8.378604,199.9888,1934.894
16,0.002405,0.173725796,8.201,8.253938,297.4407,2086.074
16,0.0024841,0.232758922,8.078,8.130082,434.1162,2230.61
16,0.0025632,0.222110753,7.996,8.047342,560.3593,2348.311
16,0.0027214,0.266552028,7.846,7.895356,886.2319,2571.822
16,0.0030378,0.224137071,7.781,7.829282,1172.7991,2908.058
18,0.0023259,0.515489902,8.366,8.392631,193.2389,1906.481
18,0.002405,0.532453609,8.188,8.214132,337.0722,2094.062
18,0.0024841,0.623781585,8.096,8.121822,450.7868,2220.548
18,0.0025632,0.586871917,7.915,7.939858,757.413,2388.222
18,0.0027214,0.535573545,7.836,7.860283,989.174,2576.391
18,0.0030378,0.354139645,7.781,7.80483,1273.9887,2908.058
22,0.0023259,0.673284414,8.352,8.32596,239.3418,1916.294
22,0.002405,0.743014343,8.199,8.173393,387.1557,2087.31
22,0.0024841,0.845242669,8.167,8.07075,533.3594,2220.548
22,0.0025632,1.000690217,8.096,8.141431,452.7525,2250.861
22,0.0027214,0.650364295,7.933,7.908547,905.1675,2530.01
22,0.0030378,0.601428501,7.767,7.74392,1546.5396,2914.641
26,0.0023259,0.978553694,8.377,8.300207,261.5946,1898.692
26,0.002405,1.207691172,8.169,8.094092,495.0363,2105.538
26,0.0024841,1.289817963,8.096,8.021871,625.9193,2220.548
26,0.0025632,1.371020406,7.986,7.913459,866.9443,2353.439
26,0.0027214,1.412873075,7.832,7.762727,1366.8981,2578.206
26,0.0030378,1.243055896,7.702,7.63671,2103.5558,2944.299
30,0.0023259,0.930828637,8.397,8.271109,288.1823,1884.355
30,0.002405,1.031143713,8.203,8.08003,525.1317,2084.836
30,0.0024841,1.120224455,8.188,8.065149,566.5943,2165.805
30,0.0025632,1.202133414,8.105,7.983659,735.1386,2288.408
30,0.0027214,1.102179942,7.781,7.670662,1788.0921,2600.76
30,0.0030378,1.021398646,7.7058,7.599449,2393.3425,2942.602
33,0.0023259,0.36999113,8.317,8.157135,409.1641,1940.321
33,0.002405,0.419245163,8.201,8.043469,590.1333,2086.074
33,0.0024841,0.740284228,8.136,7.979921,730.1614,2197.435
33,0.0025632,0.770747965,7.916,7.76763,1338.7212,2387.751
33,0.0027214,0.699319667,7.781,7.640041,1979.1827,2600.76
33,0.0030378,0.394080054,7.746,7.607251,2404.9944,2924.378
16,NA,0,NA,NA,0,0
18,NA,0,NA,NA,0,0
22,NA,0,NA,NA,0,0
26,NA,0,NA,NA,0,0
30,NA,0,NA,NA,0,0
33,NA,0,NA,NA,0,0
